Draw No,Draw Date,Winning No,Additional No
4140,18/12/2025,"2,14,15,30,31,43",27
4139,15/12/2025,"17,21,22,35,37,42",9
4138,11/12/2025,"6,11,20,28,33,43",16
4137,8/12/2025,"9,12,15,23,27,47",45
4136,4/12/2025,"1,5,24,36,41,46",39
4135,1/12/2025,"2,10,24,35,45,49",37
4134,27/11/2025,"6,8,17,28,32,46",16
4133,24/11/2025,"8,25,27,34,45,47",19
4132,20/11/2025,"11,13,22,31,47,49",39
4131,17/11/2025,"3,9,12,18,19,34",24
4130,13/11/2025,"6,13,18,22,34,35",40
4129,10/11/2025,"2,11,12,19,25,36",16
4128,6/11/2025,"3,20,24,29,32,44",46
4127,3/11/2025,"10,19,22,34,39,43",35
4126,30/10/2025,"1,5,31,34,38,45",21
4125,27/10/2025,"4,12,14,24,36,38",17
4124,23/10/2025,"7,14,17,18,31,38",46
4123,20/10/2025,"3,10,13,15,32,37",8
4122,16/10/2025,"2,4,8,19,35,39",7
4121,13/10/2025,"5,31,33,34,38,46",39
4120,9/10/2025,"13,14,19,22,31,42",41
4119,6/10/2025,"10,15,22,31,42,48",4
4118,2/10/2025,"19,22,26,37,40,46",14
4117,29/9/2025,"15,16,22,34,35,43",26
4116,25/9/2025,"1,6,9,11,29,36",12
4115,22/9/2025,"8,15,22,24,43,47",44
4114,18/9/2025,"6,8,9,20,45,49",21
4113,15/9/2025,"10,19,25,29,33,37",24
4112,11/9/2025,"2,15,19,35,41,48",33
4111,8/9/2025,"1,3,33,38,39,42",31
4110,4/9/2025,"8,12,21,38,40,43",25
4109,1/9/2025,"3,4,8,13,14,17",20
4108,28/8/2025,"10,11,16,24,34,35",1
4107,25/8/2025,"2,3,4,16,22,39",48
4106,21/8/2025,"4,13,22,36,38,46",12
4105,18/8/2025,"1,4,18,24,37,42",26
4104,14/8/2025,"22,25,29,31,34,43",11
4103,11/8/2025,"9,24,31,34,43,44",1
4102,8/8/2025,"2,15,28,39,42,44",5
4101,4/8/2025,"30,32,40,43,45,49",5
4100,31/7/2025,"7,19,20,21,22,29",37
4099,28/7/2025,"2,14,16,21,36,47",1
4098,24/7/2025,"9,11,24,32,39,49",26
4097,21/7/2025,"2,5,10,12,14,37",17
4096,17/7/2025,"7,8,17,29,32,42",1
4095,14/7/2025,"2,8,19,29,38,41",20
4094,10/7/2025,"12,21,26,27,35,44",10
4093,7/7/2025,"10,15,17,33,36,45",34
4092,3/7/2025,"6,15,16,17,25,34",31
4091,30/6/2025,"11,27,31,33,34,36",13
4090,26/6/2025,"10,26,28,35,37,46",20
4089,23/6/2025,"2,15,29,37,45,49",24
4088,19/6/2025,"1,10,37,40,45,47",19
4087,16/6/2025,"5,18,27,32,48,49",21
4086,12/6/2025,"3,7,38,41,44,49",20
4085,9/6/2025,"7,10,11,21,32,48",27
4084,5/6/2025,"2,5,25,26,29,30",42
4083,2/6/2025,"10,19,21,22,28,31",34
4082,29/5/2025,"1,5,7,11,19,47",44
4081,26/5/2025,"5,9,15,28,46,48",8
4080,22/5/2025,"3,10,32,34,44,48",29
4079,19/5/2025,"2,15,17,18,39,45",26
4078,15/5/2025,"9,16,17,20,34,38",18
4077,12/5/2025,"6,16,20,23,40,48",45
4076,8/5/2025,"9,13,17,39,46,47",22
4075,5/5/2025,"5,8,28,38,40,43",39
4074,1/5/2025,"2,8,12,30,35,49",38
4073,28/4/2025,"3,8,12,18,24,41",11
4072,24/4/2025,"17,19,21,23,30,40",33
4071,21/4/2025,"1,17,30,37,41,43",32
4070,17/4/2025,"15,17,26,31,40,46",19
4069,14/4/2025,"6,14,29,30,35,42",25
4068,10/4/2025,"14,26,27,30,46,48",10
4067,7/4/2025,"7,19,35,40,43,47",33
4066,3/4/2025,"12,14,15,16,21,40",23
4065,31/3/2025,"9,12,17,23,29,46",20
4064,27/3/2025,"21,22,27,35,40,42",3
4063,24/3/2025,"18,19,25,28,31,44",34
4062,20/3/2025,"9,10,11,13,23,42",20
4061,17/3/2025,"7,30,39,42,43,48",33
4060,13/3/2025,"16,26,34,36,42,49",41
4059,10/3/2025,"5,7,32,38,42,47",27
4058,6/3/2025,"19,33,35,38,46,49",39
4057,3/3/2025,"4,16,24,25,43,49",46
4056,27/2/2025,"2,10,13,15,37,40",28
4055,24/2/2025,"24,37,38,42,48,49",31
4054,20/2/2025,"3,25,31,37,39,42",21
4053,17/2/2025,"1,16,23,39,41,42",9
4052,13/2/2025,"5,8,13,28,30,49",17
4051,10/2/2025,"1,3,7,18,34,39",46
4050,7/2/2025,"16,18,22,23,28,35",32
4049,3/2/2025,"1,12,29,31,41,48",25
4048,30/1/2025,"2,9,13,24,26,43",49
4047,27/1/2025,"7,16,22,26,33,43",44
4046,24/1/2025,"9,10,18,35,43,49",42
4045,20/1/2025,"3,5,6,16,32,49",4
4044,16/1/2025,"6,13,18,27,35,46",48
4043,13/1/2025,"3,7,11,13,34,35",17
4042,9/1/2025,"13,32,34,36,38,40",37
4041,6/1/2025,"6,10,13,27,41,49",4
