Draw,Date,Winning_No,Addl_No,From_Last,Sum,Average,Odd_Even,To_Ten,To_Twenty,To_Thirty,To_Forty,To_Fifty
4140,2025-12-18,"2,14,15,30,31,43",27,,135,23,3 / 3,3 / 3,1,2,1,1
4139,2025-12-15,"17,21,22,35,37,42",9,,174,29,3 / 3,4 / 2,0,1,2,2
4138,2025-12-11,"6,11,20,28,33,43",16,,141,24,3 / 3,3 / 3,1,2,1,1
4137,2025-12-08,"9,12,15,23,27,47",45,,133,22,4 / 2,5 / 1,1,2,2,0
4136,2025-12-04,"1,5,24,36,41,46",39,24,153,26,3 / 3,3 / 3,2,0,1,1
4135,2025-12-01,"2,10,24,35,45,49",37,,165,28,3 / 3,3 / 3,2,0,1,1
4134,2025-11-27,"6,8,17,28,32,46",16,8,137,23,3 / 3,1 / 5,2,1,1,1
4133,2025-11-24,"8,25,27,34,45,47",19,47,186,31,1 / 5,4 / 2,1,0,2,1
4132,2025-11-20,"11,13,22,31,47,49",39,,173,29,3 / 3,5 / 1,0,2,1,1
4131,2025-11-17,"3,9,12,18,19,34",24,"18,34",95,16,5 / 1,3 / 3,2,3,0,1
4130,2025-11-13,"6,13,18,22,34,35",40,,128,21,4 / 2,2 / 4,1,2,1,2
4129,2025-11-10,"2,11,12,19,25,36",16,,105,18,4 / 2,3 / 3,1,3,1,1
4128,2025-11-06,"3,20,24,29,32,44",46,,152,25,3 / 3,2 / 4,1,1,2,1
4127,2025-11-03,"10,19,22,34,39,43",35,34,167,28,3 / 3,3 / 3,1,1,1,2
4126,2025-10-30,"1,5,31,34,38,45",21,38,154,26,2 / 4,4 / 2,2,0,0,3
4125,2025-10-27,"4,12,14,24,36,38",17,"14,38",128,21,4 / 2,0 / 6,1,2,1,2
4124,2025-10-23,"7,14,17,18,31,38",46,,125,21,4 / 2,3 / 3,1,3,0,2
4123,2025-10-20,"3,10,13,15,32,37",8,,110,18,4 / 2,4 / 2,2,2,0,2
4122,2025-10-16,"2,4,8,19,35,39",7,,107,18,4 / 2,3 / 3,3,1,0,2
4121,2025-10-13,"5,31,33,34,38,46",39,31,187,31,1 / 5,3 / 3,1,0,0,4
4120,2025-10-09,"13,14,19,22,31,42",41,"22,31,42",141,24,4 / 2,3 / 3,0,3,1,1
4119,2025-10-06,"10,15,22,31,42,48",4,22,168,28,3 / 3,2 / 4,1,1,1,1
4118,2025-10-02,"19,22,26,37,40,46",14,22,190,32,2 / 4,2 / 4,0,1,2,2
4117,2025-09-29,"15,16,22,34,35,43",26,,165,28,3 / 3,3 / 3,0,2,1,2
4116,2025-09-25,"1,6,9,11,29,36",12,,92,15,4 / 2,4 / 2,3,1,1,1
4115,2025-09-22,"8,15,22,24,43,47",44,8,159,27,4 / 2,3 / 3,1,1,2,0
4114,2025-09-18,"6,8,9,20,45,49",21,,137,23,4 / 2,3 / 3,3,1,0,0
4113,2025-09-15,"10,19,25,29,33,37",24,19,153,26,2 / 4,5 / 1,1,1,2,2
4112,2025-09-11,"2,15,19,35,41,48",33,,160,27,3 / 3,4 / 2,1,2,0,1
4111,2025-09-08,"1,3,33,38,39,42",31,38,156,26,2 / 4,4 / 2,2,0,0,3
4110,2025-09-04,"8,12,21,38,40,43",25,8,162,27,3 / 3,2 / 4,1,1,1,2
4109,2025-09-01,"3,4,8,13,14,17",20,,59,10,6 / 0,3 / 3,3,3,0,0
4108,2025-08-28,"10,11,16,24,34,35",1,16,130,22,4 / 2,2 / 4,1,2,1,2
4107,2025-08-25,"2,3,4,16,22,39",48,"4,22",86,14,5 / 1,2 / 4,3,1,1,1
4106,2025-08-21,"4,13,22,36,38,46",12,4,159,27,3 / 3,1 / 5,1,1,1,2
4105,2025-08-18,"1,4,18,24,37,42",26,,126,21,4 / 2,2 / 4,2,1,1,1
4104,2025-08-14,"22,25,29,31,34,43",11,"31,34,43",184,31,1 / 5,4 / 2,0,0,3,2
4103,2025-08-11,"9,24,31,34,43,44",1,44,185,31,2 / 4,3 / 3,1,0,1,2
4102,2025-08-08,"2,15,28,39,42,44",5,,170,28,2 / 4,2 / 4,1,1,1,1
4101,2025-08-04,"30,32,40,43,45,49",5,,239,40,0 / 6,3 / 3,0,0,1,2
4100,2025-07-31,"7,19,20,21,22,29",37,21,118,20,5 / 1,4 / 2,1,2,3,0
4099,2025-07-28,"2,14,16,21,36,47",1,,136,23,4 / 2,2 / 4,1,2,1,1
4098,2025-07-24,"9,11,24,32,39,49",26,,164,27,3 / 3,4 / 2,1,1,1,2
4097,2025-07-21,"2,5,10,12,14,37",17,,80,13,5 / 1,2 / 4,3,2,0,1
4096,2025-07-17,"7,8,17,29,32,42",1,"8,29",135,23,3 / 3,3 / 3,2,1,1,1
4095,2025-07-14,"2,8,19,29,38,41",20,,137,23,3 / 3,3 / 3,2,1,1,1
4094,2025-07-10,"12,21,26,27,35,44",10,,165,28,2 / 4,3 / 3,0,1,3,1
4093,2025-07-07,"10,15,17,33,36,45",34,"15,17",156,26,3 / 3,4 / 2,1,2,0,2
4092,2025-07-03,"6,15,16,17,25,34",31,34,113,19,4 / 2,3 / 3,1,3,1,1
4091,2025-06-30,"11,27,31,33,34,36",13,,172,29,1 / 5,4 / 2,0,1,1,4
4090,2025-06-26,"10,26,28,35,37,46",20,37,182,30,1 / 5,2 / 4,1,0,2,2
4089,2025-06-23,"2,15,29,37,45,49",24,"37,45",177,30,2 / 4,5 / 1,1,1,1,1
4088,2025-06-19,"1,10,37,40,45,47",19,,180,30,2 / 4,4 / 2,2,0,0,2
4087,2025-06-16,"5,18,27,32,48,49",21,49,179,30,2 / 4,3 / 3,1,1,1,1
4086,2025-06-12,"3,7,38,41,44,49",20,7,182,30,2 / 4,4 / 2,2,0,0,1
4085,2025-06-09,"7,10,11,21,32,48",27,,129,22,4 / 2,3 / 3,2,1,1,1
4084,2025-06-05,"2,5,25,26,29,30",42,,117,20,2 / 4,3 / 3,2,0,4,0
4083,2025-06-02,"10,19,21,22,28,31",34,19,131,22,4 / 2,3 / 3,1,1,3,1
4082,2025-05-29,"1,5,7,11,19,47",44,5,90,15,5 / 1,6 / 0,3,2,0,0
4081,2025-05-26,"5,9,15,28,46,48",8,48,151,25,3 / 3,3 / 3,2,1,1,0
4080,2025-05-22,"3,10,32,34,44,48",29,,171,29,2 / 4,1 / 5,2,0,0,2
4079,2025-05-19,"2,15,17,18,39,45",26,17,136,23,4 / 2,4 / 2,1,3,0,1
4078,2025-05-15,"9,16,17,20,34,38",18,"16,20",134,22,4 / 2,2 / 4,1,3,0,2
4077,2025-05-12,"6,16,20,23,40,48",45,,153,26,4 / 2,1 / 5,1,2,1,1
4076,2025-05-08,"9,13,17,39,46,47",22,,171,29,3 / 3,5 / 1,1,2,0,1
4075,2025-05-05,"5,8,28,38,40,43",39,8,162,27,2 / 4,2 / 4,2,0,1,2
4074,2025-05-01,"2,8,12,30,35,49",38,"8,12",136,23,3 / 3,2 / 4,2,1,1,1
4073,2025-04-28,"3,8,12,18,24,41",11,,106,18,5 / 1,2 / 4,2,2,1,0
4072,2025-04-24,"17,19,21,23,30,40",33,"17,30",150,25,4 / 2,4 / 2,0,2,3,1
4071,2025-04-21,"1,17,30,37,41,43",32,17,169,28,2 / 4,5 / 1,1,1,1,1
4070,2025-04-17,"15,17,26,31,40,46",19,,175,29,2 / 4,3 / 3,0,2,1,2
4069,2025-04-14,"6,14,29,30,35,42",25,"14,30",156,26,2 / 4,2 / 4,1,1,2,1
4068,2025-04-10,"14,26,27,30,46,48",10,,191,32,1 / 5,1 / 5,0,1,3,0
4067,2025-04-07,"7,19,35,40,43,47",33,40,191,32,2 / 4,5 / 1,1,1,0,2
4066,2025-04-03,"12,14,15,16,21,40",23,12,118,20,5 / 1,2 / 4,0,4,1,1
4065,2025-03-31,"9,12,17,23,29,46",20,,136,23,4 / 2,4 / 2,1,2,2,0
4064,2025-03-27,"21,22,27,35,40,42",3,,187,31,2 / 4,3 / 3,0,0,3,2
4063,2025-03-24,"18,19,25,28,31,44",34,,165,28,2 / 4,3 / 3,0,2,2,1
4062,2025-03-20,"9,10,11,13,23,42",20,42,108,18,5 / 1,4 / 2,2,2,1,0
4061,2025-03-17,"7,30,39,42,43,48",33,42,209,35,1 / 5,3 / 3,1,0,1,1
4060,2025-03-13,"16,26,34,36,42,49",41,42,203,34,1 / 5,1 / 5,0,1,1,2
4059,2025-03-10,"5,7,32,38,42,47",27,38,171,29,2 / 4,3 / 3,2,0,0,2
4058,2025-03-06,"19,33,35,38,46,49",39,49,220,37,1 / 5,4 / 2,0,1,0,3
4057,2025-03-03,"4,16,24,25,43,49",46,,161,27,3 / 3,3 / 3,1,1,2,0
4056,2025-02-27,"2,10,13,15,37,40",28,37,117,20,4 / 2,3 / 3,2,2,0,2
4055,2025-02-24,"24,37,38,42,48,49",31,"37,42",238,40,1 / 5,2 / 4,0,0,1,2
4054,2025-02-20,"3,25,31,37,39,42",21,"39,42",177,30,1 / 5,5 / 1,1,0,1,3
4053,2025-02-17,"1,16,23,39,41,42",9,,162,27,3 / 3,4 / 2,1,1,1,1
4052,2025-02-13,"5,8,13,28,30,49",17,,133,22,3 / 3,3 / 3,2,1,2,0
4051,2025-02-10,"1,3,7,18,34,39",46,18,102,17,4 / 2,4 / 2,3,1,0,2
4050,2025-02-07,"16,18,22,23,28,35",32,,142,24,4 / 2,2 / 4,0,2,3,1
4049,2025-02-03,"1,12,29,31,41,48",25,,162,27,2 / 4,4 / 2,1,1,1,1
